"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi"
"2796","PETROSELINATE",281.2483,175.6,0.04,806.578500900901,248.907789985258,245.753861060484,252.061718910031,221.643188136033,276.172391834482
"2973","Prostaglandin D2",375.2147,195.65,0.08,810.223118018018,249.219048861237,246.056087994127,252.382009728346,221.953400734316,276.484696988157
"2974","Prostaglandin D2",351.2171,189.12,0.11,813.867735135135,249.528844550505,246.356881639177,252.700807461834,222.26215067235,276.795538428661
"2975","Prostaglandin F2a",377.2304,204.68,0.05,817.512352252252,249.837190437652,246.656255273665,253.01812560164,222.569451351845,277.10492952346
"2976","Prostaglandin F2a",353.2328,193.8,0.03,821.156969369369,250.144099725843,246.954221992523,253.333977459162,222.875315992648,277.412883459037
"2977","Prostaglandin G2",391.2096,198.31,0.09,824.801586486486,250.449585440067,247.250794710941,253.648376169192,223.17975763601,277.719413244124
"2978","Prostaglandin G2",367.2121,193.33,0.14,828.446203603604,250.753660430324,247.545986167644,253.961334693005,223.48278914777,278.024531712879
"2979","Prostaglandin H2",375.2147,201.62,0.15,832.090820720721,251.056337374729,247.839808928092,254.272865821365,223.784423221479,278.328251527978
"2980","Prostaglandin H2",351.2171,189.88,0.27,835.735437837838,251.35762878255,248.132275387619,254.582982177482,224.084672381449,278.630585183652
"2981","Prostaglandin I2 (sodium salt)",353.2328,200.07,0.13,839.380054954955,251.657546997187,248.423397774484,254.891696219891,224.383548985731,278.931545008643
"2982","Prostaglandin I2 (sodium salt)",375.2147,195.69,0.08,843.024672072072,251.956104199078,248.71318815287,255.199020245285,224.681065229042,279.231143169113
"2983","Prostaglandin I2 (sodium salt)",351.2171,191.61,0.27,846.669289189189,252.253312408541,249.001658425807,255.504966391274,224.977233145611,279.52939167147
"3119","Resolvin D1",399.2147,139.2,0.12,850.313906306306,252.549183488562,249.28882033803,255.809546639095,225.272064611974,279.826302365151
"3120","Resolvin D1",375.2171,139.2,0.06,853.958523423423,252.84372914752,249.574685478775,256.112772816264,225.565571349707,280.121886945332
"3121","Resolvin D2",399.2147,139.2,0.07,857.603140540541,253.136960941842,249.859265284518,256.414656599167,225.857764928099,280.416156955586
"3122","Resolvin D2",375.2171,139.2,0.05,861.247757657658,253.428890278624,250.142571041646,256.715209515601,226.148656766765,280.709123790482
"3190","SEBACATE",225.1089,152.75,0.02,864.892374774775,253.719528418172,250.424613889077,257.014442947267,226.438258138212,281.000798698132
"3191","SEBACATE",223.0948,145.98,0.07,868.536991891892,254.008886476508,250.705404820816,257.3123681322,226.726580170338,281.291192782678
"3192","SEBACATE",201.1143,144.03,0.04,872.181609009009,254.29697542781,250.984954688461,257.608996167159,227.013633848889,281.580317006731
"3291","STEARATE",283.2639,177.08,0.01,875.826226126126,254.583806106809,251.263274203652,257.904338009965,227.29943001986,281.868182193758
"3292","Stearic acid (C18:0)",307.2613,190.84,0.08,879.470843243243,254.86938921113,251.540373940473,258.198404481787,227.583979391843,282.154799030417
"3293","Stearic acid (C18:0)",283.2637,177.11,0.15,883.11546036036,255.15373530359,251.816264337791,258.491206269389,227.867292538331,282.440178068849
"3294","Stearic acid (TST)",283.2643,177.66,0.03,886.760077477478,255.436854814443,252.09095570156,258.782753927326,228.149379899974,282.724329728912
"3298","SUBERATE",197.0786,144.12,0.02,890.404694594595,255.718758043578,252.364458207061,259.073057880096,228.430251786778,283.007264300379
"3299","SUBERATE",195.064,137.42,0.11,894.049311711712,255.999455162682,252.636781901111,259.362128424253,228.709918380276,283.288991945088
